Date,    Contract,    Units,    Volume,    LowPrice,    HighPrice,    AvgPrice,    LastPrice
9/7/12,    DEM12_WTA,2654.00,1736.98,0.629,0.677,0.654,0.645
9/7/12,    REP12_WTA,2465.00,864.07,0.324,0.374,0.351,0.357
9/8/12,    DEM12_WTA,332.00,213.68,0.635,0.661,0.644,0.651
9/8/12,    REP12_WTA,534.00,187.90,0.345,0.365,0.352,0.345
9/9/12,    DEM12_WTA,496.00,329.59,0.646,0.681,0.665,0.681
9/9/12,    REP12_WTA,222.00,73.00,0.32,0.345,0.329,0.32
9/10/12,    DEM12_WTA,1961.00,1333.48,0.663,0.692,0.68,0.692
9/10/12,    REP12_WTA,1035.00,330.19,0.305,0.33,0.319,0.305
9/11/12,    DEM12_WTA,1279.00,886.21,0.68,0.711,0.693,0.68
9/11/12,    REP12_WTA,1260.00,408.20,0.301,0.36,0.324,0.325
9/12/12,    DEM12_WTA,652.00,436.14,0.652,0.684,0.669,0.659
9/12/12,    REP12_WTA,939.00,323.84,0.324,0.356,0.345,0.345
9/13/12,    DEM12_WTA,378.00,251.94,0.655,0.675,0.666,0.67
9/13/12,    REP12_WTA,1430.00,485.00,0.318,0.35,0.339,0.318
9/14/12,    DEM12_WTA,2871.00,1993.80,0.675,0.704,0.694,0.704
9/14/12,    REP12_WTA,1830.00,574.13,0.299,0.325,0.314,0.299
9/15/12,    DEM12_WTA,1091.00,761.81,0.687,0.7,0.698,0.7
9/15/12,    REP12_WTA,397.00,120.45,0.297,0.312,0.303,0.297
9/16/12,    DEM12_WTA,600.00,419.71,0.686,0.703,0.7,0.699
9/16/12,    REP12_WTA,1852.00,555.94,0.297,0.31,0.3,0.3
9/17/12,    DEM12_WTA,2353.00,1696.73,0.68,0.75,0.721,0.75
9/17/12,    REP12_WTA,1284.00,367.34,0.27,0.299,0.286,0.27
9/18/12,    DEM12_WTA,2483.00,1812.24,0.72,0.75,0.73,0.728
9/18/12,    REP12_WTA,3836.00,1061.35,0.25,0.31,0.277,0.299
9/19/12,    DEM12_WTA,314.00,228.05,0.722,0.73,0.726,0.722
9/19/12,    REP12_WTA,987.00,269.52,0.262,0.278,0.273,0.274
9/20/12,    DEM12_WTA,1046.00,764.96,0.722,0.74,0.731,0.724
9/20/12,    REP12_WTA,1052.00,286.81,0.26,0.279,0.273,0.275
9/21/12,    DEM12_WTA,845.00,623.06,0.722,0.749,0.737,0.732
9/21/12,    REP12_WTA,1404.00,386.59,0.256,0.299,0.275,0.26
9/22/12,    DEM12_WTA,233.00,174.25,0.742,0.762,0.748,0.762
9/22/12,    REP12_WTA,234.00,57.23,0.24,0.256,0.245,0.24
9/23/12,    DEM12_WTA,547.00,418.28,0.751,0.77,0.765,0.768
9/23/12,    REP12_WTA,512.00,120.42,0.23,0.253,0.235,0.23
9/24/12,    DEM12_WTA,913.00,723.37,0.765,0.801,0.792,0.8
9/24/12,    REP12_WTA,1213.00,269.92,0.2,0.249,0.223,0.2
9/25/12,    DEM12_WTA,1223.00,973.06,0.778,0.839,0.796,0.8
9/25/12,    REP12_WTA,1961.00,414.85,0.2,0.239,0.212,0.221
9/26/12,    DEM12_WTA,1104.00,879.93,0.79,0.798,0.797,0.798
9/26/12,    REP12_WTA,1009.00,220.59,0.206,0.221,0.219,0.206
9/27/12,    DEM12_WTA,783.00,628.24,0.798,0.817,0.802,0.817
9/27/12,    REP12_WTA,900.00,179.06,0.186,0.217,0.199,0.186
9/28/12,    DEM12_WTA,336.00,273.06,0.805,0.82,0.813,0.805
9/28/12,    REP12_WTA,1705.00,353.63,0.177,0.25,0.207,0.248
